Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CareerStartAge,CompanyCareerRatio,CurrentRoleCompanyRatio,ManagerCompanyRatio,PromotionLagCompanyRatio,SatisfactionAverage,LogMonthlyIncome,IncomePerJobLevel,OverTimeJobInvolvement
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,33,0.75,0.6666666666666666,0.8333333333333334,0.0,2.3333333333333335,8.69851424787661,2996.5,3
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,39,1.0,0.7,0.7,0.1,3.0,8.543055850941965,2565.0,0
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,30,0.0,0.0,0.0,0.0,3.0,7.645397699428633,2090.0,2
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,25,1.0,0.875,0.0,0.375,3.3333333333333335,7.975908360165538,2909.0,3
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,21,0.3333333333333333,1.0,1.0,1.0,2.3333333333333335,8.15162164696975,3468.0,0
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,24,0.875,1.0,0.8571428571428571,0.42857142857142855,3.6666666666666665,8.029107054619736,3068.0,0
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,47,0.08333333333333333,0.0,0.0,0.0,1.6666666666666667,7.890208213109961,2670.0,4
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,29,1.0,0.0,0.0,0.0,3.0,7.898782356970309,2693.0,0
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,28,0.9,0.7777777777777778,0.8888888888888888,0.1111111111111111,3.0,9.161885151706779,3175.3333333333335,0
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,19,0.4117647058823529,1.0,1.0,1.0,2.6666666666666665,8.563695025067657,2618.5,0
