feature,lower_bound,upper_bound,flagged_rows,flagged_pct,observed_min,observed_max
TrainingTimesLastYear,0.5,4.5,174,16.446124763705104,0,6
YearsSinceLastPromotion,-4.5,7.5,80,7.561436672967864,0,15
YearsAtCompany,-6.0,18.0,79,7.466918714555766,0,40
MonthlyIncome,-5854.125,17490.875,64,6.049149338374291,1009,19999
StockOptionLevel,-1.5,2.5,55,5.198487712665406,0,3
NumCompaniesWorked,-3.5,8.5,43,4.064272211720227,0,9
TotalWorkingYears,-9.0,31.0,29,2.7410207939508506,0,40
YearsInCurrentRole,-5.5,14.5,15,1.4177693761814745,0,18
YearsWithCurrManager,-5.5,14.5,12,1.1342155009451798,0,17
EmployeeNumber,-741.375,2207.625,0,0.0,1,1487
EnvironmentSatisfaction,-1.0,7.0,0,0.0,1,4
DistanceFromHome,-14.5,29.5,0,0.0,1,29
DailyRate,-589.625,2223.375,0,0.0,102,1499
Age,10.5,62.5,0,0.0,18,60
Education,-1.0,7.0,0,0.0,1,5
HourlyRate,-4.5,135.5,0,0.0,30,100
PercentSalaryHike,3.0,27.0,0,0.0,11,25
RelationshipSatisfaction,-1.0,7.0,0,0.0,1,4
JobSatisfaction,-1.0,7.0,0,0.0,1,4
JobInvolvement,0.5,4.5,0,0.0,1,4
JobLevel,-2.0,6.0,0,0.0,1,5
MonthlyRate,-9852.875,38494.125,0,0.0,2094,26999
WorkLifeBalance,0.5,4.5,0,0.0,1,4
